Temperature, Et, NtSigman, k, chi2
453, 0.185079, 0.000329431, 165.417, 0.00140514
453, 0.195887, 0.000250191, 125.388, 0.00140514
453, 0.206696, 0.000190116, 95.0399, 0.00140514
453, 0.217505, 0.00014457, 72.032, 0.00140514
453, 0.228313, 0.000110041, 54.5887, 0.00140514
453, 0.239122, 8.38622e-05, 41.3643, 0.00140514
453, 0.249931, 6.40154e-05, 31.3384, 0.00140514
453, 0.260739, 4.89687e-05, 23.7373, 0.00140514
453, 0.271548, 3.75612e-05, 17.9746, 0.00140514
453, 0.282357, 2.89128e-05, 13.6057, 0.00140514
453, 0.293165, 2.2356e-05, 10.2935, 0.00140514
453, 0.303974, 1.73851e-05, 7.78235, 0.00140514
453, 0.314783, 1.36164e-05, 5.87855, 0.00140514
453, 0.325591, 1.07593e-05, 4.43521, 0.00140514
453, 0.3364, 8.59313e-06, 3.34095, 0.00140514
453, 0.347209, 6.95089e-06, 2.51135, 0.00140514
453, 0.358018, 5.70585e-06, 1.8824, 0.00140514
453, 0.368826, 4.76194e-06, 1.40557, 0.00140514
453, 0.379635, 4.04632e-06, 1.04406, 0.00140514
453, 0.390444, 3.50378e-06, 0.76999, 0.00140514
453, 0.401252, 3.09246e-06, 0.562205, 0.00140514
453, 0.412061, 2.78062e-06, 0.404675, 0.00140514
453, 0.42287, 2.5442e-06, 0.285245, 0.00140514
453, 0.433678, 2.36497e-06, 0.194701, 0.00140514
453, 0.444487, 2.22908e-06, 0.126055, 0.00140514
453, 0.455296, 2.12606e-06, 0.0740124, 0.00140514
453, 0.466104, 2.04795e-06, 0.0345567, 0.00140514
453, 0.476913, 1.98874e-06, 0.00464396, 0.00140514
453, 0.487722, 1.94385e-06, -0.0180344, 0.00140514
453, 0.49853, 1.90981e-06, -0.0352277, 0.00140514
453, 0.509339, 1.88401e-06, -0.0482626, 0.00140514
453, 0.520148, 1.86445e-06, -0.0581449, 0.00140514
453, 0.530957, 1.84962e-06, -0.0656371, 0.00140514
453, 0.541765, 1.83837e-06, -0.0713172, 0.00140514
